Time(ns) Atom xpos(nm) ypos(nm) zpos(nm)
0.001 73 4.97566 6.67712 3.35795
0.001 74 6.69508 6.70466 3.34357
0.001 75 0.0672029 0.0828479 5.04127
0.001 76 1.72626 0.084257 5.00899
0.001 77 3.42098 0.134712 5.03572
0.001 78 5.04276 0.109356 5.04843
0.001 79 6.6931 0.0687868 5.0461
0.001 80 0.0597926 1.76639 5.02212
0.001 81 1.72411 1.71546 5.05211
0.001 82 3.44254 1.75707 5.07616
0.001 83 5.04752 1.74077 5.01839
0.001 84 6.727 1.78647 5.06362
0.001 85 0.0947606 3.34036 5.03455
0.001 86 1.71124 3.45855 5.06411
0.001 87 3.4152 3.39365 5.01179
0.001 88 5.03668 3.41796 5.05463
0.001 89 6.69076 3.43558 5.05335
0.001 90 0.0221483 5.0251 5.05401
0.001 91 1.77559 5.02962 5.02807
0.001 92 3.46201 4.98877 5.02094
0.001 93 5.05241 5.03291 5.07163
0.001 94 6.7034 4.9928 5.07551
0.001 95 0.135845 6.75998 5.08252
0.001 96 1.70238 6.70564 5.06131
0.001 97 3.34227 6.70531 5.06755
0.001 98 5.07775 6.68601 5.01531
0.001 99 6.71692 6.65453 5.07581
0.002 0 0.150793 0.0219372 0.131894
0.002 1 1.79821 0.154014 0.0795866
0.002 2 3.53471 0.19726 0.0418801
0.002 3 4.93565 0.0299319 0.0731201
0.002 4 6.71172 0.205312 0.0912077
0.002 5 0.120891 1.67729 0.102512
0.002 6 1.76434 1.77254 0.063433
0.002 7 3.3214 1.85774 0.0355997
0.002 8 5.05311 1.78854 0.18956
0.002 9 6.72341 1.71204 0.0598713
0.002 10 0.224408 3.35059 0.11891
0.002 11 1.7327 3.36837 0.0675709
0.002 12 3.39277 3.39709 9.91753
0.002 13 5.04911 3.40197 0.0507909
0.002 14 6.66273 3.28114 0.166652
0.002 15 0.205415 4.98403 0.0700702
0.002 16 1.72659 5.07636 0.123391
0.002 17 3.47193 4.98935 0.112207
0.002 18 4.97501 5.10574 0.0787252
0.002 19 6.60504 5.05988 0.186425
0.002 20 0.094524 6.59093 0.195235
0.002 21 1.81711 6.66203 0.0920327
0.002 22 3.32827 6.64606 0.186311
0.002 23 4.9194 6.71191 0.109247
0.002 24 6.65261 6.69159 0.0319119
0.002 25 0.102074 9.95206 1.94922
0.002 26 1.78024 0.0958692 1.72122
0.002 27 3.41515 9.94433 1.77807
0.002 28 4.94358 0.137619 1.71058
0.002 29 6.62941 0.179375 1.71789
0.002 30 0.0660981 1.73545 1.77453
0.002 31 1.69039 1.78112 1.73663
0.002 32 3.30697 1.76084 1.70461
0.002 33 5.06877 1.80554 1.75934
0.002 34 6.432 1.77643 1.71664
0.002 35 0.135775 3.29979 1.73655
0.002 36 1.81406 3.43745 1.7619
0.002 37 3.39743 3.43579 1.66356
0.002 38 5.0122 3.36215 1.77058
0.002 39 6.72185 3.38445 1.52946
0.002 40 0.0744795 5.12271 1.79868
0.002 41 1.78352 5.16401 1.8154
0.002 42 3.3583 4.96909 1.76476
0.002 43 5.00571 4.94614 1.70348
0.002 44 6.8189 4.98341 1.71782
0.002 45 0.198143 6.56025 1.80175
0.002 46 1.74652 6.70769 1.68174
0.002 47 3.33157 6.76731 1.75153
0.002 48 5.03635 6.88625 1.82008
0.002 49 6.6831 6.7505 1.7499
0.002 50 0.189428 0.134335 3.34774
0.002 51 1.68697 0.0919035 3.34423
0.002 52 3.35015 0.0613695 3.44043
0.002 53 5.07722 0.183103 3.45574
0.002 54 6.62627 0.0851059 3.40332
0.002 55 0.198533 1.78746 3.42165
0.002 56 1.74338 1.82556 3.42399
0.002 57 3.4511 1.77484 3.45098
0.002 58 5.10817 1.77988 3.37427
0.002 59 6.66127 1.82612 3.25174
0.002 60 0.214177 3.35966 3.26276
0.002 61 1.8509 3.40723 3.3505
0.002 62 3.46461 3.28613 3.51823
0.002 63 5.01979 3.40171 3.43333
0.002 64 6.6486 3.54576 3.48177
0.002 65 0.0768169 5.02648 3.45985
0.002 66 1.62827 5.08229 3.35069
0.002 67 3.35943 5.03929 3.35271
0.002 68 5.07909 4.93278 3.36043
0.002 69 6.72511 4.94972 3.50505
0.002 70 0.10769 6.58257 3.39044
0.002 71 1.60667 6.67973 3.35978
