Time(ns) T(K) kin(kg-nm^2/ns^2)
0 4.98084e+11 6.87679e-11
0.001 4.9808e+11 6.87674e-11
0.002 4.98077e+11 6.8767e-11
0.003 4.98075e+11 6.87666e-11
0.004 4.98073e+11 6.87664e-11
0.005 4.98071e+11 6.87662e-11
0.006 4.9807e+11 6.8766e-11
0.007 4.98069e+11 6.87658e-11
0.008 4.98068e+11 6.87657e-11
0.009 4.98067e+11 6.87656e-11
