Time(ns) Atom xvel(nm/ns) yvel(nm/ns) zvel(nm/ns)
0.001 50 44.7124 17.1684 -26.1257
0.001 51 -31.5139 -4.04767 -27.8854
0.001 52 -24.9266 -19.3149 20.2138
0.001 53 13.6073 41.5514 27.8693
0.001 54 -36.8637 -7.44659 1.65724
0.001 55 49.2659 18.729 10.8239
0.001 56 -3.30856 37.7785 11.9926
0.001 57 25.552 12.4185 25.4903
0.001 58 29.0855 14.9424 -12.8643
0.001 59 -19.3626 38.0616 -74.1297
0.001 60 57.0889 -20.1699 -68.6208
0.001 61 50.4518 3.61466 -24.7465
0.001 62 32.3052 -56.9326 59.1123
0.001 63 -15.104 0.855188 16.6665
0.001 64 -25.7023 72.875 40.8849
0.001 65 -11.5926 -11.7628 29.9251
0.001 66 -60.865 16.1436 -24.6524
0.001 67 -20.2856 -5.35677 -23.6446
0.001 68 14.5429 -58.6087 -19.7843
0.001 69 12.556 -50.1355 52.5233
0.001 70 3.84293 -58.7134 -4.77968
0.001 71 -71.6622 -10.1342 -20.1073
0.001 72 17.7924 17.3285 1.40416
0.001 73 -74.3497 -22.893 -42.0544
0.001 74 -4.93582 4.64632 -56.4357
0.001 75 -32.7836 -17.1395 -8.74108
0.001 76 -23.7371 -15.7279 -41.025
0.001 77 20.9851 34.7273 -14.2933
0.001 78 -7.24562 9.37115 -1.58172
0.001 79 -6.91314 -31.2015 -3.91055
0.001 80 -40.1929 16.391 -27.8918
0.001 81 -25.8901 -34.541 2.09155
0.001 82 42.5471 7.06987 26.1407
0.001 83 -2.47992 -9.23488 -31.6229
0.001 84 26.9825 36.4719 13.6077
0.001 85 -5.22427 -59.6411 -15.461
0.001 86 -38.7661 58.5566 14.0918
0.001 87 15.2023 -6.34737 -38.2295
0.001 88 -13.3226 17.9627 4.60878
0.001 89 -9.25779 35.5838 3.33698
0.001 90 -77.8393 -24.8984 3.99515
0.001 91 25.5915 -20.3792 -21.9471
0.001 92 62.0082 -61.2309 -29.0708
0.001 93 2.40333 -17.0913 21.6163
0.001 94 3.38533 -57.2034 25.4961
0.001 95 35.861 59.9679 32.5103
0.001 96 -47.6211 5.63096 11.2997
0.001 97 -57.7301 5.29846 17.5335
0.001 98 27.7471 -14.0064 -34.7055
0.001 99 16.9053 -45.4831 25.8028
0.002 0 25.423 -39.0041 15.9654
0.002 1 24.0996 27.0369 -10.1772
0.002 2 67.3846 48.6517 -29.0348
0.002 3 -57.2077 -35.0062 -13.4102
0.002 4 5.84074 52.6944 -4.36777
0.002 5 10.4754 -36.3537 1.28381
0.002 6 7.1759 11.2756 -18.2537
0.002 7 -39.3092 53.8793 -32.1708
0.002 8 1.56019 19.2801 44.815
0.002 9 11.6744 -18.9847 -20.0335
0.002 10 62.244 -24.704 9.48512
0.002 11 -8.6633 -15.8228 -16.1862
0.002 12 -3.61273 -1.4596 -91.2033
0.002 13 -0.443105 0.97862 -24.5747
0.002 14 -18.6631 -59.4375 33.3881
0.002 15 52.7455 -32.9842 -14.9379
0.002 16 -11.7181 13.1866 11.723
0.002 17 35.979 -30.3304 6.13283
0.002 18 -37.5063 27.8702 -10.604
0.002 19 -47.5065 4.94415 43.2484
0.002 20 -2.71218 -54.5652 47.647
0.002 21 33.569 -19.0197 -3.94684
0.002 22 -35.8715 -26.9974 43.1884
0.002 23 -65.3085 5.92271 4.64844
0.002 24 -23.7195 -4.23041 -34.019
0.002 25 1.06526 -73.944 99.6444
0.002 26 15.1227 -2.03918 -14.385
0.002 27 7.58384 -77.8064 14.0401
0.002 28 -53.2199 18.8368 -19.7134
0.002 29 -35.323 39.7196 -16.0607
0.002 30 -16.9158 -7.26082 12.2698
0.002 31 -29.8011 15.5638 -6.68628
0.002 32 -46.5238 5.42664 -22.698
0.002 33 9.42327 27.7778 4.66514
0.002 34 -134.058 13.2147 -16.6713
0.002 35 17.9177 -50.1202 -6.71671
0.002 36 32.0367 18.7185 5.9562
0.002 37 -1.28648 17.9053 -43.2193
0.002 38 -18.9033 -18.9297 10.2895
0.002 39 10.8943 -7.77441 -110.315
0.002 40 -12.7286 36.385 24.3445
0.002 41 16.7666 57.0159 32.7078
0.002 42 -20.852 -40.4692 7.38188
0.002 43 -22.1553 -51.9457 -23.2612
0.002 44 59.4212 -33.3028 -16.104
0.002 45 49.1047 -69.9211 25.8748
0.002 46 -1.74213 3.80143 -34.1332
0.002 47 -34.2204 33.6283 0.757035
0.002 48 -6.82783 93.0994 35.0555
0.002 49 -8.47857 25.2264 -0.0383734
0.002 50 44.7536 17.1909 -26.1581
0.002 51 -31.53 -4.02233 -27.8854
0.002 52 -24.9285 -19.2877 20.2195
0.002 53 13.6196 41.5836 27.8788
0.002 54 -36.9007 -7.42207 1.6601
0.002 55 49.3033 18.7364 10.8269
0.002 56 -3.32231 37.7881 11.9939
0.002 57 25.5557 12.4382 25.4978
0.002 58 29.0918 14.942 -12.8653
0.002 59 -19.4061 38.0614 -74.146
0.002 60 57.118 -20.1799 -68.6357
0.002 61 50.4496 3.60619 -24.7564
0.002 62 32.3108 -56.9478 59.1399
0.002 63 -15.1103 0.863495 16.6697
0.002 64 -25.7326 72.9102 40.9042
0.002 65 -11.5529 -11.7506 29.9245
0.002 66 -60.8749 16.1497 -24.6637
0.002 67 -20.2828 -5.35735 -23.6494
0.002 68 14.5441 -58.6265 -19.7864
0.002 69 12.5238 -50.1756 52.5341
0.002 70 3.88879 -58.7487 -4.79086
0.002 71 -71.6861 -10.171 -20.1108
0.002 72 17.8194 17.3 1.39818
0.002 73 -74.3738 -22.9117 -42.0688
0.002 74 -4.95618 4.62537 -56.455
0.002 75 -32.7568 -17.1164 -8.76634
0.002 76 -23.7416 -15.6958 -41.0549
0.002 77 20.9957 34.7583 -14.3273
0.002 78 -7.25065 9.40338 -1.61693
0.002 79 -6.94032 -31.1817 -3.93814
0.002 80 -40.1628 16.4103 -27.9255
0.002 81 -25.8958 -34.5506 2.05765
0.002 82 42.5628 7.06752 26.1046
0.002 83 -2.4933 -9.23961 -31.6546
0.002 84 26.9566 36.4801 13.5875
0.002 85 -5.19314 -59.6587 -15.4832
0.002 86 -38.7732 58.5779 14.063
0.002 87 15.2174 -6.33998 -38.2799
0.002 88 -13.3288 17.973 4.57304
0.002 89 -9.28537 35.6065 3.30189
0.002 90 -77.8176 -24.9034 3.96223
0.002 91 25.5936 -20.399 -21.9756
0.002 92 62.0212 -61.2491 -29.1002
0.002 93 2.39313 -17.1029 21.5874
0.002 94 3.35682 -57.2266 25.4609
0.002 95 35.903 59.9475 32.4873
0.002 96 -47.6361 5.60907 11.2753
0.002 97 -57.7391 5.27858 17.5062
0.002 98 27.755 -14.0349 -34.7298
0.002 99 16.8771 -45.5073 25.7839
0.003 0 25.4484 -38.9763 15.9781
0.003 1 24.0917 27.0676 -10.1475
0.003 2 67.4606 48.6602 -29.0115
0.003 3 -57.2884 -34.9713 -13.382
0.003 4 5.82387 52.7492 -4.33913
0.003 5 10.5065 -36.3524 1.31011
0.003 6 7.19032 11.2827 -18.2252
0.003 7 -39.3296 53.8985 -32.1444
0.003 8 1.5676 19.2952 44.856
0.003 9 11.6436 -18.9987 -20.0019
0.003 10 62.2987 -24.7002 9.51485
0.003 11 -8.69098 -15.8377 -16.1596
0.003 12 -3.61275 -1.47238 -91.1689
0.003 13 -0.440175 0.967306 -24.5454
0.003 14 -18.6877 -59.4476 33.5175
0.003 15 52.7948 -32.978 -14.9119
0.003 16 -11.7471 13.1995 11.7465
0.003 17 36.0125 -30.3341 6.15975
0.003 18 -37.5344 27.8728 -10.5687
0.003 19 -47.5296 4.95166 43.2902
0.003 20 -2.68631 -54.598 47.6781
0.003 21 33.6003 -19.0579 -3.90196
0.003 22 -35.8894 -27.0194 43.2242
0.003 23 -65.3239 5.88792 4.66991
0.003 24 -23.7383 -4.25689 -33.9958
0.003 25 1.09644 -73.9102 99.7239
0.003 26 15.1264 -2.01653 -14.3778
0.003 27 7.60066 -77.7782 14.0446
0.003 28 -53.2396 18.8588 -19.7219
0.003 29 -35.3509 39.7537 -16.0671
0.003 30 -16.8766 -7.2332 12.2736
0.003 31 -29.7975 15.5689 -6.68677
0.003 32 -46.5362 5.43969 -22.7046
0.003 33 9.54191 27.7925 4.65278
0.003 34 -134.183 13.2156 -16.6519
0.003 35 17.9479 -50.1448 -6.69589
0.003 36 32.0486 18.7096 5.96951
0.003 37 -1.29357 17.928 -43.2175
0.003 38 -18.9118 -18.936 10.2898
0.003 39 10.8602 -7.78212 -110.429
